115.673,0.995652,0.995636
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
0,-nan,-nan
102.434,0.981454,0.927788
102.124,0.991768,0.962238
103.193,0.993837,0.905
116.266,0.997037,0.889705
102.316,0.991943,0.97728
98.1309,0.971006,0.882542
109.508,0.996244,0.968243
114.694,0.996854,0.947215
100.58,0.996178,0.941856
65.5556,0.595266,0.595086
81.2383,0.785065,0.765761
81.6311,0.789745,0.785808
76.7053,0.792789,0.750551
46.8511,0.39902,0.393444
90.645,0.986658,0.893084
82.6071,0.79742,0.7922
90.3812,0.953077,0.903925
85.3569,0.798689,0.785992
99.6364,0.998962,0.854992
113.99,0.98412,0.970745
119.841,0.968372,0.957892
126.436,0.96978,0.951699
nan,nan,nan
128.604,0.978151,0.958092
107.617,0.95833,0.922679
118.395,0.958026,0.945997
65.8146,0.398141,0.397965
69.8717,0.396903,0.395076
nan,nan,nan
68.5875,0.390195,0.378477
97.2141,0.599853,0.593991
nan,nan,nan
nan,nan,nan
94.9752,0.599449,0.595295
91.7844,0.596742,0.557051
97.9069,0.595995,0.582382
96.2508,0.598171,0.586939
92.2321,0.575155,0.522808
97.6556,0.596902,0.585759
94.8751,0.59065,0.581225
87.0268,0.582108,0.536364
85.5286,0.58179,0.541747
116.044,0.788547,0.73791
97.6893,0.593537,0.567693
95.6108,0.597118,0.586749
97.1684,0.599602,0.596412
66.5596,0.39545,0.394337
91.6595,0.585703,0.554731
-nan,-nan,-nan
-nan,-nan,-nan
-nan,-nan,-nan
79.872,0.795749,0.759254
47.2196,0.392652,0.382933
63.9431,0.587976,0.57735
121.394,0.931554,0.818981
70.1492,0.568727,0.538678
112.286,0.969982,0.811985
65.7976,0.399952,0.397956
95.876,0.769147,0.69858
94.6609,0.782654,0.742994
84.5449,0.756599,0.738744
89.1198,0.760046,0.730017
59.1135,0.399197,0.390172
83.5457,0.998572,0.971933
